queryItem,queryIndex,stringId,ncbiTaxonId,taxonName,preferredName,annotation,gene_set
DUOX1,92,9606.ENSP00000317997,9606,Homo sapiens,DUOX1,Dual oxidase 1; Generates hydrogen peroxide which is required for the activity of thyroid peroxidase/TPO and lactoperoxidase/LPO. Plays a role in thyroid hormones synthesis and lactoperoxidase-mediated antimicrobial defense at the surface of mucosa. May have its own peroxidase activity through its N-terminal peroxidase-like domain.,robust_mrna_strict
EFCAB1,93,9606.ENSP00000262103,9606,Homo sapiens,EFCAB1,EF-hand calcium-binding domain-containing protein 1; EF-hand calcium binding domain 1.,robust_mrna_strict
EFCAB10,94,9606.ENSP00000417841,9606,Homo sapiens,EFCAB10,EF-hand calcium-binding domain-containing protein 10; EF-hand calcium binding domain 10.,robust_mrna_strict
EFHC2,95,9606.ENSP00000404232,9606,Homo sapiens,EFHC2,EF-hand domain-containing family member C2; EF-hand domain containing 2.,robust_mrna_strict
ENKUR,96,9606.ENSP00000331044,9606,Homo sapiens,ENKUR,Enkurin; Adapter that functions to localize a calcium-sensitive signal transduction machinery in sperm to a calcium-permeable ion channel.,robust_mrna_strict
EPHA3,97,9606.ENSP00000337451,9606,Homo sapiens,EPHA3,"Ephrin type-A receptor 3; Receptor tyrosine kinase which binds promiscuously membrane- bound ephrin family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Highly promiscuous for ephrin-A ligands it binds preferentially EFNA5. Upon activation by EFNA5 regulates cell-cell adhesion, cytoskeletal organization and cell migration. Plays a role in ca [...] ",robust_mrna_strict
ERICH3,98,9606.ENSP00000322609,9606,Homo sapiens,ERICH3,Glutamate-rich protein 3; Glutamate rich 3.,robust_mrna_strict
F2RL3,99,9606.ENSP00000248076,9606,Homo sapiens,F2RL3,Proteinase-activated receptor 4; Receptor for activated thrombin or trypsin coupled to G proteins that stimulate phosphoinositide hydrolysis. May play a role in platelets activation; Belongs to the G-protein coupled receptor 1 family.,robust_mrna_strict
FAM216B,100,9606.ENSP00000445786,9606,Homo sapiens,FAM216B,Protein FAM216B; Family with sequence similarity 216 member B; Belongs to the FAM216 family.,robust_mrna_strict
FAM81B,101,9606.ENSP00000283357,9606,Homo sapiens,FAM81B,Protein FAM81B; Family with sequence similarity 81 member B.,robust_mrna_strict
FAM83D,102,9606.ENSP00000481465,9606,Homo sapiens,FAM83D,"Protein FAM83D; Probable proto-oncogene that regulates cell proliferation, growth, migration and epithelial to mesenchymal transition. Through the degradation of FBXW7, may act indirectly on the expression and downstream signaling of MTOR, JUN and MYC. May play also a role in cell proliferation through activation of the ERK1/ERK2 signaling cascade. May also be important for proper chromosome congression and alignment during mitosis through its interaction with KIF22.",robust_mrna_strict
FANK1,103,9606.ENSP00000357682,9606,Homo sapiens,FANK1,"Fibronectin type 3 and ankyrin repeat domains protein 1; Through the activation of JUN and AP-1-mediated transcription, may regulate apoptosis.",robust_mrna_strict
FAP,104,9606.ENSP00000188790,9606,Homo sapiens,FAP,"Antiplasmin-cleaving enzyme FAP, soluble form; Cell surface glycoprotein serine protease that participates in extracellular matrix degradation and involved in many cellular processes including tissue remodeling, fibrosis, wound healing, inflammation and tumor growth. Both plasma membrane and soluble forms exhibit post-proline cleaving endopeptidase activity, with a marked preference for Ala/Ser-Gly-Pro-Ser/Asn/Ala consensus sequences, on substrate such as alpha-2-antiplasmin SERPINF2 and SPRY2. Degrade also gelatin, heat-denatured type I collagen, but not native collagen type I and IV, [...] ",robust_mrna_strict
FCN3,105,9606.ENSP00000270879,9606,Homo sapiens,FCN3,"Ficolin-3; May function in innate immunity through activation of the lectin complement pathway. Calcium-dependent and GlcNAc-binding lectin. Has affinity with GalNAc, GlcNAc, D-fucose, as mono/oligosaccharide and lipopolysaccharides from S.typhimurium and S.minnesota.",robust_mrna_strict
FIBIN,106,9606.ENSP00000321962,9606,Homo sapiens,FIBIN,Fin bud initiation factor homolog; Belongs to the FIBIN family.,robust_mrna_strict
FIGF,107,9606.ENSP00000297904,9606,Homo sapiens,VEGFD,"Vascular endothelial growth factor D; Growth factor active in angiogenesis, lymphangiogenesis and endothelial cell growth, stimulating their proliferation and migration and also has effects on the permeability of blood vessels. May function in the formation of the venous and lymphatic vascular systems during embryogenesis, and also in the maintenance of differentiated lymphatic endothelium in adults. Binds and activates VEGFR-2 (KDR/FLK1) and VEGFR-3 (FLT4) receptors.",robust_mrna_strict
FMO5,108,9606.ENSP00000254090,9606,Homo sapiens,FMO5,Dimethylaniline monooxygenase [N-oxide-forming] 5; In contrast with other forms of FMO it does not seem to be a drug-metabolizing enzyme.,robust_mrna_strict
FNDC1,109,9606.ENSP00000297267,9606,Homo sapiens,FNDC1,Fibronectin type III domain-containing protein 1; May be an activator of G protein signaling.,robust_mrna_strict
GEM,110,9606.ENSP00000297596,9606,Homo sapiens,GEM,"GTP-binding protein GEM; Could be a regulatory protein, possibly participating in receptor-mediated signal transduction at the plasma membrane. Has guanine nucleotide-binding activity but undetectable intrinsic GTPase activity.",robust_mrna_strict
GOLM1,111,9606.ENSP00000373364,9606,Homo sapiens,GOLM1,Golgi membrane protein 1; Unknown. Cellular response protein to viral infection.,robust_mrna_strict
GPX3,112,9606.ENSP00000373477,9606,Homo sapiens,GPX3,"Glutathione peroxidase 3; Protects cells and enzymes from oxidative damage, by catalyzing the reduction of hydrogen peroxide, lipid peroxides and organic hydroperoxide, by glutathione.",robust_mrna_strict
GPX8,113,9606.ENSP00000423822,9606,Homo sapiens,GPX8,Glutathione peroxidase 8; Belongs to the glutathione peroxidase family.,robust_mrna_strict
GRASP,114,9606.ENSP00000293662,9606,Homo sapiens,GRASP,General receptor for phosphoinositides 1-associated scaffold protein; Plays a role in intracellular trafficking and contributes to the macromolecular organization of group 1 metabotropic glutamate receptors (mGluRs) at synapses.,robust_mrna_strict
GRIA1,115,9606.ENSP00000428994,9606,Homo sapiens,GRIA1,"Glutamate receptor 1; Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. In the presence of CACNG4 or CACNG7 or CACNG8, shows resensitization which is characterized by a delayed accumulati [...] ",robust_mrna_strict
GSTA1,116,9606.ENSP00000335620,9606,Homo sapiens,GSTA1,"Glutathione S-transferase A1, N-terminally processed; Glutathione S-transferase that catalyzes the nucleophilic attack of the sulfur atom of glutathione on the electrophilic groups of a wide range of exogenous and endogenous compounds (Probable). Involved in the formation of glutathione conjugates of both prostaglandin A2 (PGA2) and prostaglandin J2 (PGJ2). It also catalyzes the isomerization of D5-androstene-3,17-dione (AD) into D4-androstene- 3,17-dione and may therefore play an important role in hormone biosynthesis. Through its glutathione-dependent peroxidase activity toward the f [...] ",robust_mrna_strict
HAS2,117,9606.ENSP00000306991,9606,Homo sapiens,HAS2,"Hyaluronan synthase 2; Catalyzes the addition of GlcNAc or GlcUA monosaccharides to the nascent hyaluronan polymer. Therefore, it is essential to hyaluronan synthesis a major component of most extracellular matrices that has a structural role in tissues architectures and regulates cell adhesion, migration and differentiation. This is one of the isozymes catalyzing that reaction and it is particularly responsible for the synthesis of high molecular mass hyaluronan. Required for the transition of endocardial cushion cells into mesenchymal cells, a process crucial for heart development. M [...] ",robust_mrna_strict
HDC,118,9606.ENSP00000267845,9606,Homo sapiens,HDC,Histidine decarboxylase; Catalyzes the biosynthesis of histamine from histidine. Belongs to the group II decarboxylase family.,robust_mrna_strict
HECW2,119,9606.ENSP00000260983,9606,Homo sapiens,HECW2,E3 ubiquitin-protein ligase HECW2; E3 ubiquitin-protein ligase that mediates ubiquitination of TP73. Acts to stabilize TP73 and enhance activation of transcription by TP73. Involved in the regulation of mitotic metaphase/anaphase transition.,robust_mrna_strict
HHIP,120,9606.ENSP00000296575,9606,Homo sapiens,HHIP,Hedgehog-interacting protein; Modulates hedgehog signaling in several cell types including brain and lung through direct interaction with members of the hedgehog family; Belongs to the HHIP family.,robust_mrna_strict
HHLA2,121,9606.ENSP00000350402,9606,Homo sapiens,HHLA2,"HERV-H LTR-associating protein 2; Through interaction with TMIGD2, costimulates T-cells in the context of TCR-mediated activation. Enhances T-cell proliferation and cytokine production via an AKT-dependent signaling cascade.",robust_mrna_strict
HIF3A,122,9606.ENSP00000366898,9606,Homo sapiens,HIF3A,Hypoxia-inducible factor 3-alpha; Acts as a transcriptional regulator in adaptive response to low oxygen tension. Acts as a regulator of hypoxia-inducible gene expression. Functions as an inhibitor of angiogenesis in hypoxic cells of the cornea. Plays a role in the development of the cardiorespiratory system. May also be involved in apoptosis (By similarity). [Isoform 3]: Attenuates the ability of transcription factor HIF1A to bind to hypoxia-responsive elements (HRE) located within the enhancer/promoter of hypoxia-inducible target genes and hence inhibits HRE-driven transcriptional ac [...] ,robust_mrna_strict
HMCN1,123,9606.ENSP00000271588,9606,Homo sapiens,HMCN1,Hemicentin-1; Promotes cleavage furrow maturation during cytokinesis in preimplantation embryos. May play a role in the architecture of adhesive and flexible epithelial cell junctions. May play a role during myocardial remodeling by imparting an effect on cardiac fibroblast migration.,robust_mrna_strict
HPSE2,124,9606.ENSP00000359583,9606,Homo sapiens,HPSE2,"Inactive heparanase-2; Binds heparin and heparan sulfate with high affinity, but lacks heparanase activity. Inhibits HPSE, possibly by competing for its substrates (in vitro).",robust_mrna_strict
HSD17B6,125,9606.ENSP00000451406,9606,Homo sapiens,HSD17B6,"17-beta-hydroxysteroid dehydrogenase type 6; NAD-dependent oxidoreductase with broad substrate specificity that shows both oxidative and reductive activity (in vitro). Has 17- beta-hydroxysteroid dehydrogenase activity towards various steroids (in vitro). Converts 5-alpha-androstan-3-alpha,17-beta-diol to androsterone and estradiol to estrone (in vitro). Has 3-alpha-hydroxysteroid dehydrogenase activity towards androsterone (in vitro). Has retinol dehydrogenase activity towards all-trans-retinol (in vitro). Can convert androsterone to epi-androsterone. Androsterone is first oxidized to [...] ",robust_mrna_strict
HSPA4L,126,9606.ENSP00000296464,9606,Homo sapiens,HSPA4L,Heat shock 70 kDa protein 4L; Possesses chaperone activity in vitro where it inhibits aggregation of citrate synthase; Belongs to the heat shock protein 70 family.,robust_mrna_strict
HYDIN,127,9606.ENSP00000377197,9606,Homo sapiens,HYDIN,Hydrocephalus-inducing protein homolog; Required for ciliary motility.,robust_mrna_strict
ID1,128,9606.ENSP00000365280,9606,Homo sapiens,ID1,"DNA-binding protein inhibitor ID-1; Transcriptional regulator (lacking a basic DNA binding domain) which negatively regulates the basic helix-loop-helix (bHLH) transcription factors by forming heterodimers and inhibiting their DNA binding and transcriptional activity. Implicated in regulating a variety of cellular processes, including cellular growth, senescence, differentiation, apoptosis, angiogenesis, and neoplastic transformation. Inhibits skeletal muscle and cardiac myocyte differentiation. Regulates the circadian clock by repressing the transcriptional activator activity of the C [...] ",robust_mrna_strict
IGF1,129,9606.ENSP00000376637,9606,Homo sapiens,IGF1,"Insulin-like growth factor I; The insulin-like growth factors, isolated from plasma, are structurally and functionally related to insulin but have a much higher growth-promoting activity. May be a physiological regulator of [1-14C]- 2-deoxy-D-glucose (2DG) transport and glycogen synthesis in osteoblasts. Stimulates glucose transport in bone-derived osteoblastic (PyMS) cells and is effective at much lower concentrations than insulin, not only regarding glycogen and DNA synthesis but also with regard to enhancing glucose uptake. May play a role in synapse maturation. Ca(2+)-dependent exo [...] ",robust_mrna_strict
IGJ,130,9606.ENSP00000440066,9606,Homo sapiens,JCHAIN,"Immunoglobulin J chain; Serves to link two monomer units of either IgM or IgA. In the case of IgM, the J chain-joined dimer is a nucleating unit for the IgM pentamer, and in the case of IgA it induces larger polymers. It also help to bind these immunoglobulins to secretory component.",robust_mrna_strict
IL13RA2,131,9606.ENSP00000361004,9606,Homo sapiens,IL13RA2,"Interleukin-13 receptor subunit alpha-2; Binds as a monomer with high affinity to interleukin-13 (IL13), but not to interleukin-4 (IL4).",robust_mrna_strict
IL18R1,132,9606.ENSP00000387211,9606,Homo sapiens,IL18R1,"Interleukin-18 receptor 1; Within the IL18 receptor complex, responsible for the binding of the proinflammatory cytokine IL18, but not IL1A nor IL1B. Involved in IL18-mediated IFNG synthesis from T-helper 1 (Th1) cells. Contributes to IL18-induced cytokine production, either independently of SLC12A3, or as a complex with SLC12A3 (By similarity).",robust_mrna_strict
IL18RAP,133,9606.ENSP00000264260,9606,Homo sapiens,IL18RAP,"Interleukin-18 receptor accessory protein; Within the IL18 receptor complex, does not mediate IL18- binding, but involved in IL18-dependent signal transduction, leading to NF-kappa-B and JNK activation. May play a role in IL18-mediated IFNG synthesis from T-helper 1 (Th1) cells (Probable).",robust_mrna_strict
IL1RL1,134,9606.ENSP00000233954,9606,Homo sapiens,IL1RL1,"Interleukin-1 receptor-like 1; Receptor for interleukin-33 (IL-33); signaling requires association of the coreceptor IL1RAP. Its stimulation recruits MYD88, IRAK1, IRAK4, and TRAF6, followed by phosphorylation of MAPK3/ERK1 and/or MAPK1/ERK2, MAPK14, and MAPK8. Possibly involved in helper T- cell function.",robust_mrna_strict
INMT,135,9606.ENSP00000013222,9606,Homo sapiens,INMT,"Indolethylamine N-methyltransferase; Functions as thioether S-methyltransferase and is active with a variety of thioethers and the corresponding selenium and tellurium compounds, including 3-methylthiopropionaldehyde, dimethyl selenide, dimethyl telluride, 2-methylthioethylamine, 2-methylthioethanol, methyl-n-propyl sulfide and diethyl sulfide. Plays an important role in the detoxification of selenium compounds (By similarity). Catalyzes the N-methylation of tryptamine and structurally related compounds.",robust_mrna_strict
IQCG,136,9606.ENSP00000265239,9606,Homo sapiens,IQCG,"Dynein regulatory complex protein 9; Component of the nexin-dynein regulatory complex (N-DRC), a key regulator of ciliary/flagellar motility which maintains the alignment and integrity of the distal axoneme and regulates microtubule sliding in motile axonemes. Binds calmodulin when cellular Ca(2+) levels are low and thereby contributes to the regulation of calcium and calmodulin-dependent protein kinase IV (CAMK4) activity; contributes to the regulation of CAMK4 signaling cascades. Required for normal axoneme assembly in sperm flagella, normal sperm tail formation and for male fertility.",robust_mrna_strict
IQUB,137,9606.ENSP00000417769,9606,Homo sapiens,IQUB,IQ and ubiquitin-like domain-containing protein; May play roles in cilia formation and/or maintenance.,robust_mrna_strict
ITGB8,138,9606.ENSP00000222573,9606,Homo sapiens,ITGB8,"Integrin beta-8; Integrin alpha-V:beta-8 (ITGAV:ITGB8) is a receptor for fibronectin. It recognizes the sequence R-G-D in its ligands. Integrin alpha-V:beta-6 (ITGAV:ITGB6) mediates R-G-D-dependent release of transforming growth factor beta-1 (TGF-beta-1) from regulatory Latency-associated peptide (LAP), thereby playing a key role in TGF-beta-1 activation on the surface of activated regulatory T-cells (Tregs) (Probable). Required during vasculogenesis (By similarity).",robust_mrna_strict
ITLN2,139,9606.ENSP00000357008,9606,Homo sapiens,ITLN2,Intelectin-2; May play a role in the defense system against pathogens.,robust_mrna_strict
KLHL13,140,9606.ENSP00000419803,9606,Homo sapiens,KLHL13,Kelch-like protein 13; Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex required for mitotic progression and cytokinesis. The BCR(KLHL9-KLHL13) E3 ubiquitin ligase complex mediates the ubiquitination of AURKB and controls the dynamic behavior of AURKB on mitotic chromosomes and thereby coordinates faithful mitotic progression and completion of cytokinesis.,robust_mrna_strict
KRT15,141,9606.ENSP00000377546,9606,Homo sapiens,KRT15,"Keratin, type I cytoskeletal 15; Keratin 15.",robust_mrna_strict
KRT5,142,9606.ENSP00000252242,9606,Homo sapiens,KRT5,"Keratin, type II cytoskeletal 5; Keratin 5; Belongs to the intermediate filament family.",robust_mrna_strict
LEPREL1,143,9606.ENSP00000316881,9606,Homo sapiens,P3H2,"Prolyl 3-hydroxylase 2; Prolyl 3-hydroxylase that catalyzes the post-translational formation of 3-hydroxyproline on collagens. Contributes to proline 3-hydroxylation of collagen COL4A1 and COL1A1 in tendons, the eye sclera and in the eye lens capsule (By similarity). Has high activity with the type IV collagen COL4A1, and lower activity with COL1A1. Catalyzes hydroxylation of the first Pro in Gly-Pro-Hyp sequences where Hyp is 4-hydroxyproline. Has no activity on substrates that lack 4- hydroxyproline in the third position. Belongs to the leprecan family.",robust_mrna_strict
LPPR4,144,9606.ENSP00000359204,9606,Homo sapiens,PLPPR4,Phospholipid phosphatase-related protein type 4; Hydrolyzes lysophosphatidic acid (LPA). Facilitates axonal outgrowth during development and regenerative sprouting. In the outgrowing axons acts as an ecto-enzyme and attenuates phospholipid- induced axon collapse in neurons and facilitates outgrowth in the hippocampus.,robust_mrna_strict
LRRC17,145,9606.ENSP00000344242,9606,Homo sapiens,LRRC17,Leucine-rich repeat-containing protein 17; Involved in bone homeostasis. Acts as a negative regulator of RANKL-induced osteoclast precursor differentiation from bone marrow precursors (By similarity).,robust_mrna_strict
LRRC32,146,9606.ENSP00000384126,9606,Homo sapiens,LRRC32,"Transforming growth factor beta activator LRRC32; Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta. Able to outcompete LTBP1 for binding to LAP regulatory chain of TGF-beta. Controls activation of TGF-beta-1 (TGFB1) on the surface of activated regulatory T-cells (Tregs).  [...] ",robust_mrna_strict
LRRC46,147,9606.ENSP00000269025,9606,Homo sapiens,LRRC46,Leucine-rich repeat-containing protein 46; Leucine rich repeat containing 46.,robust_mrna_strict
LRRIQ1,148,9606.ENSP00000376910,9606,Homo sapiens,LRRIQ1,Leucine rich repeats and IQ motif containing 1.,robust_mrna_strict
LRRN1,149,9606.ENSP00000314901,9606,Homo sapiens,LRRN1,Leucine rich repeat neuronal 1.,robust_mrna_strict
LRRN4,150,9606.ENSP00000368135,9606,Homo sapiens,LRRN4,Leucine-rich repeat neuronal protein 4; May play an important role in hippocampus-dependent long- lasting memory.,robust_mrna_strict
LTBP1,151,9606.ENSP00000386043,9606,Homo sapiens,LTBP1,"Latent-transforming growth factor beta-binding protein 1; Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta. Outcompeted by LRRC32/GARP for binding to LAP regulatory chain of TGF-beta. Belongs to the LTBP family.",robust_mrna_strict
MAP1A,152,9606.ENSP00000300231,9606,Homo sapiens,MAP1A,Microtubule-associated protein 1A; Structural protein involved in the filamentous cross-bridging between microtubules and other skeletal elements.,robust_mrna_strict
MAP3K19,153,9606.ENSP00000376647,9606,Homo sapiens,MAP3K19,Mitogen-activated protein kinase kinase kinase 19.,robust_mrna_strict
MDH1B,154,9606.ENSP00000363533,9606,Homo sapiens,MDH1B,Malate dehydrogenase 1B.,robust_mrna_strict
MFSD2A,155,9606.ENSP00000361895,9606,Homo sapiens,MFSD2A,"Sodium-dependent lysophosphatidylcholine symporter 1; Sodium-dependent lysophosphatidylcholine (LPC) symporter, which plays an essential role for blood-brain barrier formation and function (By similarity). Specifically expressed in endothelium of the blood-brain barrier of micro-vessels and transports LPC into the brain (By similarity). Transport of LPC is essential because it constitutes the major mechanism by which docosahexaenoic acid (DHA), an omega-3 fatty acid that is essential for normal brain growth and cognitive function, enters the brain. Transports LPC carrying long-chain fa [...] ",robust_mrna_strict
MME,156,9606.ENSP00000418525,9606,Homo sapiens,MME,"Neprilysin; Thermolysin-like specificity, but is almost confined on acting on polypeptides of up to 30 amino acids. Biologically important in the destruction of opioid peptides such as Met- and Leu-enkephalins by cleavage of a Gly-Phe bond. Able to cleave angiotensin-1, angiotensin-2 and angiotensin 1-9. Involved in the degradation of atrial natriuretic factor (ANF). Displays UV-inducible elastase activity toward skin preelastic and elastic fibers. Belongs to the peptidase M13 family.",robust_mrna_strict
MMP1,157,9606.ENSP00000322788,9606,Homo sapiens,MMP1,"22 kDa interstitial collagenase; Cleaves collagens of types I, II, and III at one site in the helical domain. Also cleaves collagens of types VII and X. In case of HIV infection, interacts and cleaves the secreted viral Tat protein, leading to a decrease in neuronal Tat's mediated neurotoxicity.",robust_mrna_strict
MMP13,158,9606.ENSP00000260302,9606,Homo sapiens,MMP13,"Collagenase 3; Plays a role in the degradation of extracellular matrix proteins including fibrillar collagen, fibronectin, TNC and ACAN. Cleaves triple helical collagens, including type I, type II and type III collagen, but has the highest activity with soluble type II collagen. Can also degrade collagen type IV, type XIV and type X. May also function by activating or degrading key regulatory proteins, such as TGFB1 and CCN2. Plays a role in wound healing, tissue remodeling, cartilage degradation, bone development, bone mineralization and ossification. Required for normal embryonic bon [...] ",robust_mrna_strict
MMP7,159,9606.ENSP00000260227,9606,Homo sapiens,MMP7,"Matrilysin; Degrades casein, gelatins of types I, III, IV, and V, and fibronectin. Activates procollagenase.",robust_mrna_strict
MNS1,160,9606.ENSP00000260453,9606,Homo sapiens,MNS1,Meiosis-specific nuclear structural protein 1; May play a role in the control of meiotic division and germ cell differentiation through regulation of pairing and recombination during meiosis; Belongs to the MNS1 family.,robust_mrna_strict
MORN5,161,9606.ENSP00000362869,9606,Homo sapiens,MORN5,MORN repeat containing 5.,robust_mrna_strict
MROH9,162,9606.ENSP00000356733,9606,Homo sapiens,MROH9,Maestro heat like repeat family member 9.,robust_mrna_strict
MS4A15,163,9606.ENSP00000386022,9606,Homo sapiens,MS4A15,Membrane-spanning 4-domains subfamily A member 15; May be involved in signal transduction as a component of a multimeric receptor complex.,robust_mrna_strict
MS4A8,164,9606.ENSP00000300226,9606,Homo sapiens,MS4A8,Membrane-spanning 4-domains subfamily A member 8; May be involved in signal transduction as a component of a multimeric receptor complex.,robust_mrna_strict
MSMB,165,9606.ENSP00000463092,9606,Homo sapiens,MSMB,Beta-microseminoprotein; Microseminoprotein beta.,robust_mrna_strict
MT1M,167,9606.ENSP00000369146,9606,Homo sapiens,MT1M,Metallothionein-1M; Metallothioneins have a high content of cysteine residues that bind various heavy metals; these proteins are transcriptionally regulated by both heavy metals and glucocorticoids.,robust_mrna_strict
MUC16,168,9606.ENSP00000381008,9606,Homo sapiens,MUC16,"Mucin-16; Thought to provide a protective, lubricating barrier against particles and infectious agents at mucosal surfaces.",robust_mrna_strict
MUC4,169,9606.ENSP00000417498,9606,Homo sapiens,MUC4,Mucin-4 alpha chain; May play a role in tumor progression. Ability to promote tumor growth may be mainly due to repression of apoptosis as opposed to proliferation. Has anti-adhesive properties. Seems to alter cellular behavior through both anti-adhesive effects on cell-cell and cell- extracellular matrix interactions and in its ability to act as an intramembrane ligand for ERBB2. Plays an important role in cell proliferation and differentiation of epithelial cells by inducing specific phosphorylation of ERBB2. The MUC4-ERBB2 complex causes site- specific phosphorylation of the ERBB2 ' [...] ,robust_mrna_strict
MUC5B,170,9606.ENSP00000436812,9606,Homo sapiens,MUC5B,Mucin-5B; Gel-forming mucin that is thought to contribute to the lubricating and viscoelastic properties of whole saliva and cervical mucus.,robust_mrna_strict
MXRA5,171,9606.ENSP00000217939,9606,Homo sapiens,MXRA5,"Matrix-remodeling-associated protein 5; In kidney, has anti-inflammatory and anti-fibrotic properties by limiting the induction of chemokines, fibronectin and collagen expression in response to TGB1 and pro-inflammatory stimuli.",robust_mrna_strict
MYH11,172,9606.ENSP00000379616,9606,Homo sapiens,MYH11,Myosin-11; Muscle contraction; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.,robust_mrna_strict
NECAB1,173,9606.ENSP00000387380,9606,Homo sapiens,NECAB1,N-terminal EF-hand calcium binding protein 1.,robust_mrna_strict
NEK10,174,9606.ENSP00000343847,9606,Homo sapiens,NEK10,Serine/threonine-protein kinase Nek10; NIMA related kinase 10; Belongs to the protein kinase superfamily. NEK Ser/Thr protein kinase family. NIMA subfamily.,robust_mrna_strict
NEK5,175,9606.ENSP00000347767,9606,Homo sapiens,NEK5,Serine/threonine-protein kinase Nek5; NIMA related kinase 5.,robust_mrna_strict
NELL2,176,9606.ENSP00000416341,9606,Homo sapiens,NELL2,Protein kinase C-binding protein NELL2; Required for neuron survival through the modulation of MAPK pathways (By similarity). Involved in the regulation of hypothalamic GNRH secretion and the control of puberty (By similarity).,robust_mrna_strict
NPR1,177,9606.ENSP00000357669,9606,Homo sapiens,NPR1,Atrial natriuretic peptide receptor 1; Receptor for the atrial natriuretic peptide NPPA/ANP and the brain natriuretic peptide NPPB/BNP which are potent vasoactive hormones playing a key role in cardiovascular homeostasis. Has guanylate cyclase activity upon binding of the ligand.,robust_mrna_strict
OGN,178,9606.ENSP00000364711,9606,Homo sapiens,OGN,Mimecan; Induces bone formation in conjunction with TGF-beta-1 or TGF- beta-2.,robust_mrna_strict
PACRG,179,9606.ENSP00000337946,9606,Homo sapiens,PACRG,"Parkin coregulated gene protein; Suppresses cell death induced by accumulation of unfolded Pael receptor (Pael-R, a substrate of Parkin). Facilitates the formation of inclusions consisting of Pael-R, molecular chaperones, protein degradation molecules and itself when proteasome is inhibited. May play an important role in the formation of Lewy bodies and protection of dopaminergic neurons against Parkinson disease.",robust_mrna_strict
PAMR1,180,9606.ENSP00000482899,9606,Homo sapiens,PAMR1,Inactive serine protease PAMR1; May play a role in regeneration of skeletal muscle. Belongs to the peptidase S1 family.,robust_mrna_strict
PAPSS2,181,9606.ENSP00000406157,9606,Homo sapiens,PAPSS2,"Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2; Bifunctional enzyme with both ATP sulfurylase and APS kinase activity, which mediates two steps in the sulfate activation pathway. The first step is the transfer of a sulfate group to ATP to yield adenosine 5'-phosphosulfate (APS), and the second step is the transfer of a phosphate group from ATP to APS yielding 3'-phosphoadenylylsulfate (PAPS: activated sulfate donor used by sulfotransferase). In mammals, PAPS is the sole source of sulfate; APS appears to be only an intermediate in the sulfate-activation pathway. May have  [...] ",robust_mrna_strict
PCDH7,182,9606.ENSP00000441802,9606,Homo sapiens,PCDH7,Protocadherin-7; Protocadherin 7.,robust_mrna_strict
PDE7B,183,9606.ENSP00000310661,9606,Homo sapiens,PDE7B,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B; Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes. May be involved in the control of cAMP-mediated neural activity and cAMP metabolism in the brain.",robust_mrna_strict
PEBP4,184,9606.ENSP00000256404,9606,Homo sapiens,PEBP4,"Phosphatidylethanolamine-binding protein 4; Seems to promote cellular resistance to TNF-induced apoptosis by inhibiting activation of the Raf-1/MEK/ERK pathway, JNK and phosphatidylethanolamine externalization. Belongs to the phosphatidylethanolamine-binding protein family.",robust_mrna_strict
PGC,185,9606.ENSP00000362116,9606,Homo sapiens,PGC,Gastricsin; Hydrolyzes a variety of proteins; Belongs to the peptidase A1 family.,robust_mrna_strict
PIH1D2,186,9606.ENSP00000280350,9606,Homo sapiens,PIH1D2,PIH1 domain containing 2.,robust_mrna_strict
PIP,187,9606.ENSP00000291009,9606,Homo sapiens,PIP,Prolactin induced protein; Belongs to the PIP family.,robust_mrna_strict
PLA2G1B,188,9606.ENSP00000312286,9606,Homo sapiens,PLA2G1B,"Phospholipase A2; PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides, this releases glycerophospholipids and arachidonic acid that serve as the precursors of signal molecules. Belongs to the phospholipase A2 family.",robust_mrna_strict
